cedar-rnaseq-v5.0.0,bulkrnaseq-v0,bulkrnaseq-v1,scrnaseq-v0,scrnaseq-v1,scrnaseq-v2,scrnaseq-v3
library_output_amount_unit,library_final_yield_unit,library_final_yield_unit,library_final_yield_unit,library_final_yield_unit,library_final_yield_unit,library_final_yield_unit
library_concentration_value,,,,,,
library_concentration_unit,,,,,,
library_layout,library_layout,library_layout,library_layout,library_layout,library_layout,library_layout
number_of_iterations_of_cdna_amplification,,,library_pcr_cycles,library_pcr_cycles,library_pcr_cycles,library_pcr_cycles
number_of_pcr_cycles_for_indexing,library_pcr_cycles_for_sample_index,library_pcr_cycles_for_sample_index,library_pcr_cycles_for_sample_index,library_pcr_cycles_for_sample_index,library_pcr_cycles_for_sample_index,library_pcr_cycles_for_sample_index
library_preparation_kit,,,,,,
sample_indexing_kit,,,,,,
sample_indexing_set,,,,,,
is_technical_replicate,,,is_technical_replicate,is_technical_replicate,is_technical_replicate,is_technical_replicate
expected_entity_capture_count,,,,,expected_cell_count,expected_cell_count
sequencing_reagent_kit,sequencing_reagent_kit,sequencing_reagent_kit,sequencing_reagent_kit,sequencing_reagent_kit,sequencing_reagent_kit,sequencing_reagent_kit
sequencing_read_format,sequencing_read_format,sequencing_read_format,sequencing_read_format,sequencing_read_format,sequencing_read_format,sequencing_read_format
sequencing_batch_id,,,,,,
capture_batch_id,,,,,,
preparation_instrument_vendor,,,,,,
preparation_instrument_model,,,,,,
preparation_instrument_kit,,,,,,
metadata_schema_id,,,,,,
,assay_category,assay_category,assay_category,assay_category,assay_category,assay_category
,bulk_rna_isolation_protocols_io_doi,bulk_rna_isolation_protocols_io_doi,,,,
,bulk_rna_isolation_quality_metric_value,bulk_rna_isolation_quality_metric_value,,,,
,bulk_rna_yield_units_per_tissue_unit,bulk_rna_yield_units_per_tissue_unit,,,,
,bulk_rna_yield_value,bulk_rna_yield_value,,,,
,donor_id,donor_id,donor_id,donor_id,donor_id,donor_id
,execution_datetime,execution_datetime,execution_datetime,execution_datetime,execution_datetime,execution_datetime
,library_construction_protocols_io_doi,library_construction_protocols_io_doi,library_construction_protocols_io_doi,library_construction_protocols_io_doi,library_construction_protocols_io_doi,library_construction_protocols_io_doi
,,,library_id,library_id,library_id,library_id
,operator,operator,operator,operator,operator,operator
,operator_email,operator_email,operator_email,operator_email,operator_email,operator_email
,pi,pi,pi,pi,pi,pi
,pi_email,pi_email,pi_email,pi_email,pi_email,pi_email
,rnaseq_assay_method,rnaseq_assay_method,rnaseq_assay_method,rnaseq_assay_method,rnaseq_assay_method,rnaseq_assay_method
,,,sc_isolation_enrichment,sc_isolation_enrichment,sc_isolation_enrichment,sc_isolation_enrichment
,,,sc_isolation_protocols_io_doi,sc_isolation_protocols_io_doi,sc_isolation_protocols_io_doi,sc_isolation_protocols_io_doi
,,,sc_isolation_quality_metric,sc_isolation_quality_metric,sc_isolation_quality_metric,sc_isolation_quality_metric
,,,sc_isolation_tissue_dissociation,sc_isolation_tissue_dissociation,sc_isolation_tissue_dissociation,sc_isolation_tissue_dissociation
,sequencing_phix_percent,sequencing_phix_percent,sequencing_phix_percent,sequencing_phix_percent,sequencing_phix_percent,sequencing_phix_percent
,sequencing_read_percent_q30,sequencing_read_percent_q30,sequencing_read_percent_q30,sequencing_read_percent_q30,sequencing_read_percent_q30,sequencing_read_percent_q30
,,version,,version,version,version
,,description,,description,description,description
